Hour_number,FullServiceRestaurant,Hospital,LargeHotel,LargeOffice,MediumOffice,MidriseApartment,OutPatient,PrimarySchool,QuickServiceRestaurant,SecondarySchool,SmallHotel,SmallOffice,Stand-aloneRetail,StripMall,SuperMarket,Warehouse
14,754.1027874354601,2667.5735897535997,1000.9610095891701,45.407728128509994,0.0,0.0,5723.98762104585,0.0,503.356947897374,0.0,69.900194523,0.0,8483.852379554999,2113.908406692,1781.6938377120002,3585.5142548309996
15,930.3343303398001,2762.7668299901998,1566.6964578482,42.43817222370999,0.0,0.0,5764.9163068282505,0.0,760.73082778553,0.0,109.04648809367998,0.0,8323.632328044,2093.014802104,1875.3159264696,3165.1672756860003
16,1003.58747843814,2812.3321848795995,2366.2263332672997,64.62829267001999,0.0,0.0,5837.1630689268,0.0,1009.7232689588799,0.0,130.5439288068,0.0,9249.101334369,2485.8547586,1989.9067618476001,5368.447268127
17,1039.1482188444,2941.2591141169996,2514.0853390912002,58.62656284617999,0.0,0.0,5877.12216195,0.0,1066.56037898451,38.32080165029599,148.0787098656,0.0,12703.455982629,3598.350636856,2410.7360734800004,4551.738548211
18,1030.2817792194003,3168.2559811978,2414.8792487225,82.77271664914,0.0,0.0,4719.5166181176,0.0,1114.75445251692,107.1944035926,198.069880434,0.0,15662.868043806,4518.290230875999,2707.4385173664,6656.536474191
19,1056.91214199306,3206.8946996905997,2156.0938901943,71.21252222968998,0.0,0.0,5065.16843332305,0.0,1190.1523280334402,113.080381684,216.384021354,0.0,17925.012215717998,5249.216079239999,2834.1540319392,5242.093449021
20,1029.17041737126,3415.702558795,2068.6010802996,96.12407553561,0.0,0.0,5924.226732606,0.0,1268.60253709543,206.17177078823997,231.547384734,0.0,18635.930266152,5495.019287763999,2874.8002507740007,7248.593917395001
21,1285.35584828592,3453.4612311309997,2102.83520566,79.89494394867998,0.0,0.0,4936.95885578805,0.0,1443.1034016230599,293.90599875159995,252.7809945228,0.0,0.0,0.0,2523.3286717872006,5583.284565858
22,1527.4474076634601,3565.6044221192,2337.4630401878003,115.78396678794998,0.0,0.0,4459.90714738335,0.0,1837.5623975158,505.13985866063996,298.5591407484,0.0,0.0,0.0,0.0,7953.82790004
23,1604.0905942891202,3602.4073545399997,2598.0223393229003,100.23265366630997,2.8308694166936403,0.0,5742.59697315135,0.0,2153.61712460994,521.2640989363999,323.6945324652,0.0,0.0,0.0,0.0,6270.837563322
24,1722.72609162954,3618.1382130066,571.7388884430301,129.61044878251,9.422457684080701,0.0,4601.63862878265,0.0,2497.96814358255,723.6200340621599,312.97466159280003,0.0,0.0,0.0,0.0,8489.050334847001
25,0.0,3639.1280783176,472.23496860211003,98.45570652123997,5.9267285981988,0.0,5822.887754180249,0.0,0.0,647.4209342583999,309.5316400068,0.0,0.0,0.0,0.0,6307.056335079001
26,0.0,3652.4688817162,404.32752426619,132.14502666444,12.3004948257156,0.0,4691.86752698235,0.0,0.0,853.26958488,290.97256792080003,0.0,0.0,0.0,0.0,8265.868587351
27,0.0,3664.6031238632,354.47468782376,97.10283587747,4.888434100241999,0.0,5949.5774672295,0.0,0.0,676.7744979176799,280.6791569736,0.0,0.0,0.0,0.0,5936.756333319
28,0.0,3449.6271980754,321.47456303676,130.80849667234997,9.8481625859862,0.0,6640.614339372,0.0,0.0,857.4523961276,284.12196005879997,0.0,0.0,0.0,0.0,7704.4836555
29,1507.12350949488,6786.093460503999,298.65236242918996,96.06195244713,4.00389276620256,0.0,10560.871672767,0.0,2190.63719787944,679.6039310028799,265.9029468576,0.0,0.0,0.0,0.0,5570.596874655
30,1366.98032185836,4296.8906453354,279.49792183929003,4904.722468521,1.30217956130535,0.0,8243.6340711465,5310.2380328592,1653.36357133271,30185.581078856,249.0253216452,5256.67145723192,37509.76169445,10690.714209559997,3540.7780752672006,10087.996569579
31,1158.9978187743002,3822.8247054256,1500.0151956993002,3657.6472821978996,518.56001155056,0.0,7092.300982572001,4430.4412213824,1337.32825819244,20280.580102591997,222.06863843400004,4798.371178601879,25746.05416206,7575.861502439999,3182.6913405336,8121.6956261430005
32,1142.1331606206002,3643.811133562,1813.9597061390002,1939.1228575443,323.203037340498,0.0,6754.259305755,3003.6649803048,1444.7653808536102,15887.796480135998,160.3496465256,2548.673500127392,20079.278101122,5931.852102476,2777.4656973972,7175.542667471999
33,1137.02533221108,3526.8145084375997,1845.7178315597002,1688.8050436051997,155.12127384494997,0.0,6545.361988971001,2373.8168435856,1450.7099237845,14146.069895986398,150.81814466400002,1873.7599865928241,13498.496124374999,4019.410997952,2408.7855416184,6441.471223020001
34,1062.92480345502,3342.070068339999,1404.081669522,1398.2699284893,10.643992864232699,0.0,6368.409173295,1775.4256343376,1033.75373489906,11548.88529732,140.91023032439998,1245.07200327466,10463.969352888,3085.05728166,2158.9634249964,5576.825921589
35,798.1571628873002,3215.5446425528,1167.7147588211003,1254.0921328319,0.0,0.0,6208.3473730785,1210.3345275756,676.114738186415,9515.258120118398,127.03987775280001,833.634345389912,6480.603454422,1893.4312725999998,1933.9658268336002,4729.136815908
36,555.79234398654,3057.6337922203998,1121.4080513241202,1129.7714530007,0.0,0.0,6104.4683484914995,1032.0643427959199,382.82978923769406,8492.7531123888,95.0290687086,781.0422776325839,6241.741959047999,1774.280364112,1783.5403706388001,4072.9999692240003
37,591.7136097297,2929.3605285742,1151.03213141868,728.3353244009,0.0,0.0,6034.9234252905,1210.9857028046401,345.799137571466,8402.584479144,75.18619072331998,350.03493196320005,6362.633141415,1771.010430912,1684.0744137828,3084.896309031
38,773.48726773878,2823.5566199387995,1430.4358185299,616.3829900567999,0.0,0.0,5974.4346110865,1334.12325154752,611.8397613328929,8783.1702781456,78.36110341596,237.43623369785,7311.249376557,2027.2269464080002,1668.0096899172001,2721.251369871
39,926.7880638348001,2857.667237414,1624.4110093561,838.6925940808,0.0,0.0,5978.174176494,1470.96518736552,832.7098251257099,8353.9602691168,105.10183125864,265.5285078408688,9417.591831923999,2647.717454916,1667.7548295084,3152.9307700080003
40,915.9220270227,2831.8851108625995,1700.0089344721002,954.8248220375998,0.0,0.0,6023.7851440455,1503.2182829563199,900.5821482530199,7041.2513767256005,110.82492153216,298.38436553904,11049.977159583,3208.3333236999997,1711.9613158416003,3907.8162033660005
41,992.44039639716,2827.0406333184,2933.9423096354003,1178.3457251210998,21.474395452196397,0.0,6006.252518252999,2523.0789599736,1030.13094147527,11692.595826915998,147.97888573319997,1415.387267174452,12027.588898200001,3559.080964128,1951.4561807556004,3808.801651086
42,981.8079975881402,2546.731369523,2558.7914508982003,1519.5644322889998,205.72759294124097,0.0,4804.2567435681,2797.2168087696,1264.9828786357398,13277.757536972798,209.027835504,2222.8549260151517,12847.345534305,3795.72708234,2193.2446188816,4393.345635108
43,1071.3874605004203,2573.1221296477997,2262.2527056003005,1612.0945900204,372.298748028669,0.0,5072.129049902849,2729.0926652976004,1365.32175695961,13423.817808896,228.4235055252,2434.247085116572,14136.190492134,4135.106143016,2335.968861534,6464.959071903
44,1059.3422536277399,2819.4598817702,2178.5081952844,1833.4344485963998,399.66471884814297,0.0,5923.7495946134995,2832.9428897448,1420.9335641358,13565.877525087999,248.0090314464,2561.8151364066803,16912.236158672997,4898.341215431999,2392.7963108328,5373.163530927
45,1230.9985494363002,2849.1180242654004,2149.7900326294002,1995.8094349327998,441.684257166495,0.0,4986.38997283635,0.0,1493.8696245851,0.0,257.5108884792,2621.30183120146,0.0,0.0,2103.5341948896003,7177.124368998
46,1265.2641271411799,2951.9002465517997,2176.1359080398,0.0,0.0,0.0,4506.58476550035,0.0,1524.06089672865,0.0,259.4879251392,0.0,0.0,0.0,0.0,5708.704290615001
47,1347.64501756512,2987.7680448566,2240.0908437138005,0.0,0.0,0.0,5761.48637469015,0.0,1712.3401957270598,0.0,271.2889414116,0.0,0.0,0.0,0.0,7314.672196458001
48,1559.91544149156,3015.3528751384,517.00084157442,0.0,0.0,0.0,4603.0850843854505,0.0,2216.84317354591,0.0,283.45993252799997,0.0,0.0,0.0,0.0,5816.362790403
49,0.0,3037.7132811512,431.99377166960005,0.0,0.0,0.0,5879.498874034501,0.0,0.0,0.0,280.534684212,0.0,0.0,0.0,0.0,7398.940850073
50,0.0,3072.1535650816,375.98299207931007,0.0,0.0,0.0,4719.592270575,0.0,0.0,3.1713764343136,288.6259499052,0.0,0.0,0.0,0.0,5845.843647252
51,0.0,3108.2136574738,342.61741257226,0.0,0.0,0.0,6005.881352952,0.0,0.0,5.280708627076,304.8974677452,0.0,0.0,0.0,0.0,7587.633250953
52,0.0,2990.2286590184,325.73319797158,0.0,0.0,0.0,6704.6828099355,0.0,0.0,5.0356572585792,318.96579537360003,0.0,0.0,0.0,0.0,6137.925548544
53,1659.53725678866,5255.898386205599,316.39061360865,0.0,0.0,0.0,10528.5418078815,0.0,2464.2942468149904,6.259298731961599,301.90896880919996,0.0,0.0,0.0,0.0,7858.024493508
54,1458.55090941516,3513.5985709712,298.21231887790003,3537.1815825905996,0.0,0.0,8244.174337366501,5546.9317394232,1820.29637175915,22222.52541672,272.80121185800004,3413.98451921604,35284.100869559996,9852.117361159999,3617.9296751196002,10121.262515145
55,1011.3450173293801,3204.2136133304,975.36918382603,2673.7584937385,105.36171974191498,0.0,7106.4730394775,3154.9700013216,1084.0291946475502,14917.8568641072,194.3769828252,3395.2654429795202,26534.58365112,7623.540254679999,3019.7493654840005,8260.330923909001
56,861.6534153058801,3085.6941658304,796.83787964102,1445.1936655079999,0.0,0.0,6782.331312315,1849.6453154256003,957.47035315943,10293.5841167176,113.98573337087998,1217.778077460032,22525.772274108,6507.629376479998,2511.9414915228,6644.387529999
57,734.46250839618,3009.5141657122,746.3085494729199,1222.8859943552,0.0,0.0,6623.8017364935,1332.0351980376,748.4327618637901,8149.3504866368,81.98349820464,644.8256974829121,17625.237367884,5122.4090732879995,2042.8310985768,5263.51055256
58,671.5956824016,2897.0765900168,642.14741974257,1089.3071968969998,0.0,0.0,6479.126319042,943.2963857889602,488.298897328285,6401.8352815928,74.30723209632,309.89554630817196,15720.133357248,4547.999999648,1814.4105019092,4305.999242529
59,342.76845683712,2796.1688868345996,430.71587418418994,976.3176934987,0.0,0.0,6364.648917373501,344.13291734136,166.604733490129,4168.5023590912,48.58445413476001,74.3727895188432,13177.113181638,3791.25687472,1538.4826973772,3431.152482228
60,228.92376069768002,2747.4054899412,541.2362318838301,1084.0870496935,0.0,0.0,6266.944454355,363.7411374996,61.527897909318,4412.212283903199,60.36245955948,228.9581849832244,12339.396114932999,3518.8155433919997,1542.6124545996001,3215.7544801410004
61,352.32859047714004,2717.8712537275997,701.2361989521,877.1003737384,0.0,0.0,6160.0010683185,695.85680441088,128.214503045723,5339.6620336592,42.55469500392,33.9039593740496,11846.438295552,3357.043266516,1527.8937985944,2922.3846762299995
62,636.3407326815601,2699.3971805652,1088.1600870819702,861.5872270755999,0.0,0.0,6013.590833074501,985.1449485695999,468.30138824756307,6638.2395663672,63.2488271046,48.6483274200484,11473.6851852,3209.040016496,1603.8118752804,2976.7542804990003
63,988.3424607225601,2711.8623061814,2199.9941414618997,985.3301044274,0.0,0.0,5951.5489045935,1852.8677666352,921.9089888143201,9141.2699466136,119.9699637258,249.54169614451,10841.567303361,3046.1607056159996,1760.3709036768,3702.1651746570005
64,1029.89227601976,2729.7201689578,2479.9564407107005,1133.0340433387998,0.0,0.0,5993.697201687,2059.5585310776,1093.17065221174,8616.292400877599,136.90694401439998,465.18983511044,11538.173645784,3332.3831182599997,1840.3457168411999,4558.523314679999
65,897.8100364494602,2715.6854914215996,1928.9828370554,1266.9030164847998,0.0,0.0,5974.864104222001,2045.1327783600002,863.95681859111,9530.0777523696,138.2827745328,1350.1466425430722,8878.462833873,2650.926556268,1868.5475060004,3724.4550381030003
66,727.63755350004,2523.4926730598,1873.3280539141003,1450.6336992825998,0.0,0.0,4704.808626905399,2077.9047275784,821.13975018426,9500.888066809599,169.74199264319998,1862.1329369064845,6946.431489938999,2045.0980554479997,1928.0757549528,3839.031293805
67,748.90780929228,2520.7584130768,1786.5986121494002,1374.3297842727998,0.0,0.0,4976.9280184923,2058.6461104776004,803.81112386598,9426.090852887199,170.7345539748,1872.7014982426963,7389.635512329,2131.71838998,1989.2165603508,5169.287333178
68,930.03776016162,2768.4321768885998,2638.4390619188,1640.0983713696996,78.568643969571,0.0,5780.673154497151,3035.6064518136,1194.83691242022,12565.035733495999,222.9536927124,2278.736428240492,6864.349585542,1938.200151672,2242.7187958836003,4344.426035379
69,1212.96497139504,2867.1813828398,2315.733116536,1981.1242657384,240.97309115296198,0.0,3383.1771142864495,0.0,1450.17455874412,0.0,255.1456543356,2730.4659824271716,0.0,0.0,2056.161265866,6398.139514644001
70,1186.25750331372,2947.2234246312,2157.7402075523,0.0,0.0,0.0,5518.5391893996,0.0,1373.01281365927,0.0,243.8751411036,0.0,0.0,0.0,0.0,5120.270961723
71,1226.82130878108,2937.1724611914,2142.4623497494,0.0,0.0,0.0,4490.2283553855,0.0,1489.94941601268,0.0,245.4270003012,0.0,0.0,0.0,0.0,6248.689053813
72,1432.1757800842202,2958.3632744740003,495.87671911190006,0.0,0.0,0.0,5707.33108543845,0.0,1982.3568916245802,0.0,254.36297887560002,0.0,0.0,0.0,0.0,4925.075221449
73,0.0,2979.105761549,417.39256775629,0.0,0.0,0.0,4617.86344841835,0.0,0.0,0.0,252.19221429360002,0.0,0.0,0.0,0.0,6320.0917371959995
74,0.0,3004.8226004932003,369.18692210281006,0.0,0.0,0.0,5860.661524263,0.0,0.0,0.0,259.2896477952,0.0,0.0,0.0,0.0,4995.455898078
75,0.0,3077.3442260658,352.90685179337004,0.0,0.0,0.0,4701.51370446615,0.0,0.0,0.0,263.868653952,0.0,0.0,0.0,0.0,6568.056742761
76,0.0,2950.9058704064,344.18656550481,0.0,0.0,0.0,6540.341153404501,0.0,0.0,0.0,262.1864215044,0.0,0.0,0.0,0.0,5207.957193339
77,1499.2205582742602,4800.5923441019995,329.23153992127004,0.0,0.0,0.0,10399.5198437715,0.0,2174.36819857152,0.0,265.69730442360003,0.0,0.0,0.0,0.0,6581.45035458
78,1430.16462854034,3339.4007468042,306.68487959123,2983.4745406061,0.0,0.0,8120.426613857999,5069.6289354984,1756.47284397217,20344.126750192,263.57436288360003,3224.6060957836003,26443.28706657,7298.199956279999,3401.462198772,9065.356849584
79,1182.6237402199802,3078.095853976,1591.2460602759,2356.4742210533,216.18281672049295,0.0,7010.887138983,3778.696602072,1373.60841938948,16847.164736872,228.5272324908,3530.42902328292,19468.648664279997,5571.14031198,3073.766070762,7870.338862245
80,1138.0065078235798,2979.6355460885998,1858.753516683,1427.6895699603,42.2624976008907,0.0,6660.111980924999,2642.5192713528,1433.22973046445,13426.6735002624,162.05821372680003,1537.813604492968,15366.215882289,4437.68261452,2672.6633462664,6882.95517714
81,1132.62213234684,2936.3035252478,1882.9647783093,1281.1777571389998,0.0,0.0,6476.336072329501,2183.5102049208003,1439.53134931881,12320.22732224,153.167542974,1083.119198034808,10942.023707517,3208.5053278759997,2334.0085374096,6209.13110733
82,1136.60870492106,2853.2480068275995,1879.7689420041004,1154.9315633732997,0.0,0.0,6244.58525184,1892.010670788,1162.26416547562,11312.194610908,158.7668603664,815.523614739548,9558.281058605999,2771.097962244,2180.9169008964,5528.803486689
83,917.59251435702,2790.9647706217997,1724.5648873040002,1081.8542858549,0.0,0.0,5889.8689390125,1437.1178656632,885.36657216635,10066.3158547496,153.291094602,631.9582830905521,6114.808022667,1524.4937855,2007.7460937936003,5025.01424382
84,727.7714408056801,2743.9977829914,1811.2652203429,1175.8499139704,0.0,0.0,5647.96336084695,1386.65397112032,685.6022319388371,9789.614566267199,135.5615158392,809.4105022190881,5074.043805075,976.653102172,1938.5963878320001,4874.920597170001
85,804.61581633702,2710.6855578925997,1954.2159168140001,981.3975195264999,0.0,0.0,5617.9103232213,1652.1573441727203,716.955719289902,10220.2820653568,125.99227671719999,440.80420097102393,5153.6875661429995,958.3201487439999,1900.4596267788,4493.546300250001
86,979.7408375613,2627.2868642139997,2236.9031416753,759.6198702034001,0.0,0.0,5513.013288391049,1771.2120915216003,971.2240456681001,10581.942556428798,123.43450533479998,270.38005211165523,4619.226908363999,758.6971532079999,1874.0150158284,4242.892676184
87,1110.1804083358202,2595.3336981022,2232.6319779064,758.3954090040999,0.0,0.0,5456.7783032548505,1870.2874200360002,1157.50255489297,10059.678850704,141.34726375079998,269.53730429163124,4153.458479784,633.686761684,1847.4254760708002,4658.480000343
88,1070.68929584868,2624.9961496958,1959.9242240928002,999.1240186804,0.0,0.0,5577.73715163015,1802.3723145623999,1180.7192270974,8326.482316143998,145.1879902404,381.98772463992805,7027.561672739999,1697.7067729519997,1873.3513999896002,4928.799902283
89,615.60488786004,2598.6838167128,734.22101393088,1113.9489463236998,0.0,0.0,5685.25662868995,1089.8066325552,458.62777629725207,5833.8853167192,88.94243989596,917.5376970066121,9306.256831335,2586.0242245319996,1594.1456290188,3417.83289882
90,242.796757687848,2426.3644739431998,455.69479285001,1170.5530764924,0.0,0.0,4527.57223106955,701.80067063904,196.53968662595403,3532.0053592823997,86.56774884516,991.8198369746922,10537.477294362,3067.5225683559997,1439.009390052,2798.2208396520004
91,195.55570198701602,2439.6820263482,380.25908685779007,1161.1492911707999,0.0,0.0,4901.256060597,611.29504852248,117.43929762578902,2911.5915642591995,80.27758798127999,984.95387976788,13669.148893263,4052.825890108,1420.9355831292,3602.885056398
92,114.06454540956001,2656.8929367799997,292.53431467554003,1330.1729826554,0.0,0.0,5769.5556832641,531.03467064984,110.73936069538,2316.5570096752,81.16691255903999,996.6047025802121,15376.183362606002,4588.6106351240005,1395.8211956076002,2465.478933525
93,282.21018082938,2685.296838416,322.18650733122007,1360.0942028006,0.0,0.0,4829.8248726975,0.0,148.13053010518402,0.0,84.91025758344,1049.6447283534521,0.0,0.0,1087.8353674704,3255.229802358
94,501.915318927,2814.8273830609996,580.56778438428,0.0,0.0,0.0,4380.8653841589,0.0,354.0283908094461,0.0,110.84734920623998,0.0,0.0,0.0,0.0,2571.986488734
95,666.4245666520201,2890.1198447332,818.11483955761,0.0,0.0,0.0,5617.917247877999,0.0,517.7360808249481,0.0,134.24890986239998,0.0,0.0,0.0,0.0,4140.977014539
96,996.4846092904199,2926.5443392586,963.7291430472302,0.0,0.0,0.0,4585.5328172823,0.0,1172.38286805659,0.0,164.5332715452,0.0,0.0,0.0,0.0,3389.970679659
97,0.0,2948.6437718875995,847.41894936937,0.0,0.0,0.0,5819.289479862299,0.0,0.0,0.0,177.2308011816,0.0,0.0,0.0,0.0,4874.02520022
98,0.0,2926.6828503578,586.41028494573,0.0,0.0,0.0,4660.914857431951,0.0,0.0,0.0,166.2848601252,0.0,0.0,0.0,0.0,3557.455926192
99,0.0,2946.7588741938,480.7924877111301,0.0,0.0,0.0,5963.8699336905,0.0,0.0,0.0,171.37214624519999,0.0,0.0,0.0,0.0,4775.774976090001
100,0.0,2833.512901006,390.04697318902004,0.0,0.0,0.0,6707.9357625150005,0.0,0.0,0.0,169.9787420772,0.0,0.0,45.390768945999994,0.0,3633.8156061299997
101,1042.68772261506,4482.3160834836,338.72157012043004,0.0,0.0,0.0,10604.1678050295,0.0,1329.09382232807,0.0,163.1418908652,0.0,0.0,52.9334084132,0.0,5000.581788516
102,989.71264679178,3209.2665244769996,318.0098456164,2225.3702848528,0.0,0.0,9017.273768607,3224.5212790056003,955.89341359806,13192.642337892798,163.9142939376,2237.657114868164,43915.53728403,12696.79025036,2613.6176449860004,7010.677200645
103,769.37964991008,2959.206305605,473.79030087291,1911.3426342135997,0.0,0.0,7972.3697922765,2271.9252498096002,624.945839583049,11062.376639405598,139.6247052384,2518.810250808764,36061.78195059,10830.1482834,2435.5058924448,5889.679055019
104,687.8526367258801,2830.7263262178,613.74974721151,1123.9689204771998,0.0,0.0,7657.429525668,1341.6142592512801,622.089540819647,7836.8888550743995,80.17475467476,627.860917478476,32691.823794030002,9712.41327244,2095.3616097636004,4734.136944504
105,729.1980889671,2783.6684614787996,730.62182713317,980.0036103086999,0.0,0.0,6949.9092954914995,1328.40498333144,709.181045279399,7797.066893546399,76.89353137224,291.6034118017548,24957.515588999995,7254.449457080001,1820.6822968308,4146.289192044001
106,798.27887589402,2621.058096633,903.5482794419901,656.5400649887998,0.0,0.0,6118.1537619735,1336.68940433952,578.7219605117261,7886.649854527199,84.76434070092,124.9808798184892,19443.802620726,5423.217830295999,1705.6028971764,4094.1976587209997
107,491.08409619234004,2443.0121441285996,746.1973321105102,430.4261951825,0.0,0.0,5783.8121864757,717.6393093525601,253.74525548110196,5825.2705905136,56.59587695772001,7.79823783292488,14238.175631294998,3686.250810268,1444.6880035380002,2748.919861818
108,264.76817651808,2383.4611549345996,665.89425355502,447.25793870839993,0.0,0.0,5539.5654054624,591.18436276368,30.7713199536663,5164.3615978728,63.557643593760005,15.9770062049796,10893.530740203,2532.193900804,1370.8726266312,1864.54725471
109,370.23011579712005,2395.5904650748,763.25801256089,359.09452802332,0.0,0.0,5384.38029110865,903.71217177528,100.44502606825701,5845.333234263199,34.7684752782,0.0,9180.86459964,1944.5845830479998,1392.0720444468002,1481.372959185
110,517.77332176482,2306.6447889838,787.0133070366701,246.16119887672,0.0,0.0,5310.6632168323495,915.82963240776,294.88797629481,5798.5140264248,28.56795917616,0.0,8262.471704562,1656.869796856,1338.2944255728,1310.2851538440002
111,668.6400089229601,2273.7814107934,920.3053658224301,198.85816247597995,0.0,0.0,5324.31372731895,1083.3036775831201,449.432248803675,5487.078468111199,51.80034213108,0.0,7990.230992141999,1623.2748571,1333.476947268,1365.285068415
112,844.76736617052,2372.5105916935995,1629.8745496859,378.37918116952994,0.0,0.0,5526.2874930822,1588.81608311328,756.3193391055771,6372.032916879999,94.20629352096,1.103697720298052,11432.550398688001,2895.2041713,1582.1116704180001,2445.334094016
113,800.8939084199401,2409.4614480742,1757.747975935,676.3916767043999,0.0,0.0,5691.53985682815,1793.2082352912,706.049998866359,8463.610741373599,110.63102497368001,357.84753386404003,14364.889262507999,3983.500578236,1710.8666683092,2888.8886750310003
114,662.5765279224602,2364.9593225372,1789.8875104565,966.6535423224,0.0,0.0,4575.511804669651,1758.2850881736003,715.332797360802,8463.727334296,149.32419321839998,829.335841640988,17506.598590569,5040.532994272,1817.2951064928002,3311.641516095
115,826.95380072862,2403.3200083439997,2626.4344529647,1079.4675677542998,0.0,0.0,4964.9665042341,2313.1947025824,946.5022984785301,10419.221889284,177.6237411264,1246.542527662256,22394.002290917997,6562.282841159999,2026.3797347976001,5336.987583465
116,891.0093492958802,2636.7134392272,2237.3637226703,1310.3218098899,0.0,0.0,5855.56252398,2328.0131435904,1134.98671842857,10995.5643723992,208.8734132508,1542.190652755148,25422.27923634,7510.13989572,2166.7933854576004,4400.804605536
117,1092.05120475636,2682.3869488707996,1991.6225043148002,1422.6575710311,49.208971303695,0.0,5016.42123165495,0.0,1240.2094380509102,0.0,223.421656668,1703.968624440588,0.0,0.0,1895.2776713376002,6331.684186953
118,1244.4119724446402,2800.7006223758,2053.3472357531,0.0,0.0,0.0,4435.0317339412495,0.0,1469.01026788406,0.0,249.77315674680003,0.0,0.0,0.0,0.0,4998.068718075
119,1356.5207816454601,2837.833805248,2201.4432573126,0.0,0.0,0.0,5733.624822207749,0.0,1713.3139979305502,0.0,267.84509670479997,0.0,0.0,0.0,0.0,7032.362518107
120,1693.7112962748602,2876.6441087020003,507.92137385661005,0.0,0.0,0.0,4649.454646223399,0.0,2443.4246360477805,0.0,303.63851916240003,0.0,0.0,0.0,0.0,5550.396099543
121,0.0,2921.2501178882,436.09971719531006,0.0,0.0,0.0,5939.3234015504995,0.0,0.0,0.0,341.88494992439996,0.0,0.0,109.896095096,0.0,8042.650402950001
122,0.0,2978.1975394387996,397.41653843136004,0.0,0.0,0.0,4804.15592859345,0.0,0.0,0.0,362.32830287639996,0.0,0.0,104.265886068,0.0,6391.181499354
123,0.0,3124.5799773267995,386.67267098145004,0.0,0.0,0.0,6086.5755838875,0.0,0.0,0.0,391.3900625184,0.0,119.9771234892,243.7426034316,0.0,9151.442841852
124,0.0,3031.6297252179997,392.20403405876,0.0,0.0,0.0,7231.0251417885,0.0,0.0,0.0,405.54285707879995,0.0,614.4112986228,286.60876414719996,0.0,7113.655944279
125,2081.43062113878,4629.2462437451995,384.49247466994,0.0,0.0,0.0,7301.63513898,0.0,3214.4993474041403,0.0,395.2090133532,0.0,880.1448863553,385.09136976679997,157.76594824356002,9304.577368794
